topic,term,beta,rank
1,risk,0.03559997154847428,1
1,treatment,0.029909666405861006,2
1,disea,0.027064513834554372,3
1,readmiss,0.023508073120421084,4
1,framework,0.021374208691941104,5
1,product,0.021374208691941104,6
1,deliveri,0.0188847001920478,7
1,chronic,0.018173412049221137,8
1,drug,0.01675083576356782,9
1,collect,0.01675083576356782,10
1,analyt,0.016395191692154493,11
1,futur,0.015328259477914497,12
1,predict,0.014616971335087837,13
1,empir,0.013905683192261186,14
1,suppli,0.01355003912084786,15
1,method,0.012838750978021191,16
1,manufactur,0.012838750978021191,17
1,discuss,0.012483106906607862,18
1,task,0.012483106906607862,19
1,key,0.012127462835194539,20
1,issu,0.011060530620954547,21
1,characterist,0.011060530620954547,22
1,factor,0.011060530620954547,23
1,evalu,0.010349242478127893,24
1,consum,0.010349242478127893,25
1,chain,0.010349242478127893,26
1,advanc,0.009993598406714556,27
1,learn,0.009993598406714556,28
1,compar,0.009282310263887903,29
1,public,0.009282310263887903,30
1,role,0.008926666192474567,31
1,strategi,0.008926666192474567,32
1,environ,0.008926666192474567,33
1,term,0.00857102212106124,34
1,techniqu,0.00857102212106124,35
1,direct,0.00857102212106124,36
1,initi,0.00821537804964791,37
1,decrea,0.007859733978234579,38
1,observ,0.007859733978234579,39
1,leverag,0.007859733978234579,40
1,critic,0.007504089906821255,41
1,applic,0.007504089906821255,42
1,sourc,0.007504089906821255,43
1,busi,0.007504089906821255,44
1,analyz,0.007148445835407923,45
1,access,0.007148445835407923,46
1,exist,0.007148445835407923,47
1,opportun,0.007148445835407923,48
1,industri,0.006792801763994594,49
1,select,0.006792801763994594,50
1,amount,0.006792801763994594,51
1,uniqu,0.006437157692581266,52
1,limit,0.006437157692581266,53
1,structur,0.006437157692581266,54
1,person,0.006437157692581266,55
1,tradit,0.006437157692581266,56
1,requir,0.006081513621167938,57
1,enabl,0.006081513621167938,58
1,methodolog,0.006081513621167938,59
1,complex,0.005725869549754606,60
1,onlin,0.005725869549754606,61
1,understand,0.005725869549754606,62
1,recent,0.005725869549754606,63
1,program,0.005725869549754606,64
1,integr,0.005725869549754606,65
1,control,0.005725869549754606,66
1,concern,0.005725869549754606,67
1,dynam,0.005370225478341276,68
1,import,0.005370225478341276,69
1,util,0.005370225478341276,70
1,interv,0.005370225478341276,71
1,assess,0.005014581406927948,72
1,call,0.005014581406927948,73
1,field,0.005014581406927948,74
1,theoret,0.005014581406927948,75
1,publish,0.005014581406927948,76
1,relev,0.004658937335514615,77
1,play,0.004658937335514615,78
1,combin,0.004658937335514615,79
1,deriv,0.004658937335514615,80
1,build,0.004658937335514615,81
1,status,0.004303293264101288,82
1,current,0.004303293264101288,83
1,period,0.004303293264101288,84
1,introduc,0.004303293264101288,85
1,plan,0.004303293264101288,86
1,object,0.004303293264101288,87
1,generat,0.004303293264101288,88
1,tool,0.004303293264101288,89
1,facilit,0.003947649192687957,90
1,natur,0.003947649192687957,91
1,visit,0.003947649192687957,92
1,typic,0.003947649192687957,93
1,valid,0.003947649192687957,94
1,major,0.0035920051212746293,95
1,evid,0.0035920051212746293,96
1,reflect,0.0035920051212746293,97
1,includ,0.0035920051212746293,98
1,perspect,0.0035920051212746293,99
1,prefer,0.0035920051212746293,100
1,recommend,0.0035920051212746293,101
1,report,0.0035920051212746293,102
1,determin,0.0035920051212746293,103
1,procedur,0.0035920051212746293,104
1,prior,0.0035920051212746293,105
1,condit,0.003236361049861298,106
1,achiev,0.003236361049861298,107
1,yield,0.003236361049861298,108
1,usag,0.003236361049861298,109
1,longitudin,0.0028807169784479704,110
1,context,0.0028807169784479704,111
1,altern,0.0028807169784479704,112
1,take,0.0028807169784479704,113
1,consist,0.0028807169784479704,114
1,depart,0.0028807169784479704,115
1,implement,0.0028807169784479704,116
1,failur,0.00252507290703464,117
1,explor,0.00252507290703464,118
1,mechan,0.00252507290703464,119
1,obtain,0.00252507290703464,120
1,individu,0.00252507290703464,121
1,addit,0.00252507290703464,122
1,popul,0.00252507290703464,123
1,found,0.0021694288356213106,124
1,multipl,0.0021694288356213106,125
1,actual,0.0021694288356213106,126
1,charact,0.0021694288356213106,127
1,posit,0.0021694288356213106,128
1,estim,0.0021694288356213106,129
1,practit,0.0021694288356213106,130
1,extend,0.0018137847642079798,131
1,adopt,0.0018137847642079798,132
1,benefit,0.0018137847642079798,133
1,establish,0.0018137847642079798,134
1,continu,0.0014581406927946512,135
1,similar,0.0014581406927946512,136
1,highlight,0.0014581406927946512,137
1,u.,0.0014581406927946512,138
1,heterogen,0.0014581406927946512,139
1,demonstr,0.0014581406927946512,140
1,knowledg,0.0014581406927946512,141
1,relationship,0.0011024966213813215,142
1,measur,0.0011024966213813215,143
1,avail,0.0011024966213813215,144
1,due,0.0011024966213813215,145
1,solv,0.0011024966213813215,146
1,facil,0.0011024966213813215,147
1,offer,0.0011024966213813215,148
1,final,0.0011024966213813215,149
1,life,0.0011024966213813215,150
1,theori,7.468525499679924e-4,151
1,digit,7.468525499679924e-4,152
1,inpati,7.468525499679924e-4,153
1,activ,7.468525499679924e-4,154
1,depend,7.468525499679924e-4,155
1,detail,7.468525499679924e-4,156
1,common,7.468525499679924e-4,157
1,draw,3.912084785546625e-4,158
1,lower,3.912084785546625e-4,159
1,abil,3.912084785546625e-4,160
1,record,3.912084785546625e-4,161
1,captur,3.912084785546625e-4,162
1,accept,3.912084785546625e-4,163
1,incorpor,3.912084785546625e-4,164
1,reveal,3.912084785546625e-4,165
1,simpl,3.912084785546625e-4,166
1,motiv,3.912084785546625e-4,167
1,respect,3.912084785546625e-4,168
1,varieti,3.912084785546625e-4,169
1,serv,3.912084785546625e-4,170
1,communiti,3.912084785546625e-4,171
1,variabl,3.912084785546625e-4,172
1,revenu,3.912084785546625e-4,173
1,prove,3.912084785546625e-4,174
1,function,3.5564407141332984e-5,175
1,organiz,3.5564407141332984e-5,176
1,engag,3.5564407141332984e-5,177
1,exten,3.5564407141332984e-5,178
1,involv,3.5564407141332984e-5,179
1,question,3.5564407141332984e-5,180
1,substanti,3.5564407141332984e-5,181
1,employ,3.5564407141332984e-5,182
1,share,3.5564407141332984e-5,183
1,behavior,3.5564407141332984e-5,184
1,conduct,3.5564407141332984e-5,185
1,moder,3.5564407141332984e-5,186
1,electron,3.5564407141332984e-5,187
1,exchang,3.5564407141332984e-5,188
1,comput,3.5564407141332984e-5,189
1,network,3.5564407141332984e-5,190
1,reduct,3.5564407141332984e-5,191
1,center,3.5564407141332984e-5,192
1,flow,3.5564407141332984e-5,193
1,unit,3.5564407141332984e-5,194
1,paramet,3.5564407141332984e-5,195
1,remain,3.5564407141332984e-5,196
1,appoint,3.5564407141332984e-5,197
1,particip,3.5564407141332984e-5,198
1,schedul,3.5564407141332984e-5,199
1,wait,3.5564407141332984e-5,200
1,account,3.5564407141332984e-5,201
1,robust,3.5564407141332984e-5,202
1,probabl,3.5564407141332984e-5,203
1,uncertainti,3.5564407141332984e-5,204
1,invest,3.5564407141332984e-5,205
1,averag,3.5564407141332984e-5,206
1,differenti,3.5564407141332984e-5,207
1,panel,3.5564407141332984e-5,208
1,market,3.5564407141332984e-5,209
1,affect,3.5564407141332984e-5,210
1,expect,3.5564407141332984e-5,211
1,numer,3.5564407141332984e-5,212
1,sensit,3.5564407141332984e-5,213
1,target,3.5564407141332984e-5,214
1,formul,3.5564407141332984e-5,215
1,maxim,3.5564407141332984e-5,216
1,solut,3.5564407141332984e-5,217
1,algorithm,3.5564407141332984e-5,218
1,approxim,3.5564407141332984e-5,219
1,negat,3.5564407141332984e-5,220
1,standard,3.5564407141332984e-5,221
1,total,3.5564407141332984e-5,222
1,constraint,3.5564407141332984e-5,223
1,consid,3.5564407141332984e-5,224
1,doctor,3.5564407141332984e-5,225
1,day,3.5564407141332984e-5,226
1,social,3.5564407141332984e-5,227
1,firm,3.5564407141332984e-5,228
1,hypoth,3.5564407141332984e-5,229
1,size,3.5564407141332984e-5,230
1,interact,3.5564407141332984e-5,231
1,high,3.5564407141332984e-5,232
1,resourc,3.5564407141332984e-5,233
1,financ,3.5564407141332984e-5,234
1,creat,3.5564407141332984e-5,235
1,maker,3.5564407141332984e-5,236
1,platform,3.5564407141332984e-5,237
1,success,3.5564407141332984e-5,238
1,effort,3.5564407141332984e-5,239
1,simultan,3.5564407141332984e-5,240
1,e.g,3.5564407141332984e-5,241
1,form,3.5564407141332984e-5,242
1,locat,3.5564407141332984e-5,243
1,respon,3.5564407141332984e-5,244
1,user,3.5564407141332984e-5,245
1,partial,3.5564407141332984e-5,246
1,bed,3.5564407141332984e-5,247
1,effici,3.5564407141332984e-5,248
1,real,3.5564407141332984e-5,249
1,queue,3.5564407141332984e-5,250
1,markov,3.5564407141332984e-5,251
1,choic,3.5564407141332984e-5,252
1,capac,3.5564407141332984e-5,253
1,simul,3.5564407141332984e-5,254
1,alloc,3.5564407141332984e-5,255
1,gain,3.5564407141332984e-5,256
1,heurist,3.5564407141332984e-5,257
1,demand,3.5564407141332984e-5,258
2,schedul,0.03828331267848484,1
2,appoint,0.02346570397111913,2
2,wait,0.021579826499272585,3
2,capac,0.020232771162239344,4
2,resourc,0.012689261274853173,5
2,current,0.012419850207446525,6
2,estim,0.012419850207446525,7
2,expect,0.012150439140039868,8
2,solut,0.012150439140039868,9
2,flow,0.011881028072633226,10
2,effici,0.011611617005226572,11
2,bed,0.011342205937819925,12
2,averag,0.011072794870413275,13
2,total,0.010803383803006631,14
2,simul,0.010803383803006631,15
2,alloc,0.010803383803006631,16
2,method,0.00999515060078668,17
2,maxim,0.00972573953338003,18
2,algorithm,0.00972573953338003,19
2,approxim,0.00972573953338003,20
2,program,0.009456328465973381,21
2,unit,0.009456328465973381,22
2,demonstr,0.009456328465973381,23
2,comput,0.009186917398566736,24
2,heurist,0.009186917398566736,25
2,respon,0.008917506331160086,26
2,function,0.0086480952637534355,27
2,dynam,0.0086480952637534355,28
2,numer,0.0086480952637534355,29
2,common,0.0086480952637534355,30
2,util,0.0086480952637534355,31
2,variabl,0.0086480952637534355,32
2,markov,0.0086480952637534355,33
2,demand,0.0086480952637534355,34
2,limit,0.008378684196346787,35
2,gain,0.008378684196346787,36
2,accept,0.008109273128940137,37
2,probabl,0.008109273128940137,38
2,compar,0.007839862061533484,39
2,benefit,0.007839862061533484,40
2,determin,0.007839862061533484,41
2,day,0.007839862061533484,42
2,addit,0.0075704509941268375,43
2,measur,0.007301039926720192,44
2,formul,0.007301039926720192,45
2,facil,0.007031628859313538,46
2,object,0.007031628859313538,47
2,constraint,0.007031628859313538,48
2,reduct,0.00676221779190689,49
2,account,0.00676221779190689,50
2,plan,0.00676221779190689,51
2,queue,0.00676221779190689,52
2,requir,0.006492806724500242,53
2,due,0.006492806724500242,54
2,uncertainti,0.006492806724500242,55
2,depart,0.006492806724500242,56
2,condit,0.006223395657093593,57
2,inpati,0.006223395657093593,58
2,incorpor,0.006223395657093593,59
2,offer,0.006223395657093593,60
2,conduct,0.005953984589686943,61
2,structur,0.005953984589686943,62
2,consid,0.005953984589686943,63
2,control,0.005953984589686943,64
2,partial,0.005953984589686943,65
2,depend,0.005684573522280297,66
2,robust,0.005684573522280297,67
2,access,0.005684573522280297,68
2,observ,0.005415162454873647,69
2,analyt,0.005415162454873647,70
2,achiev,0.005415162454873647,71
2,procedur,0.005415162454873647,72
2,life,0.005415162454873647,73
2,serv,0.005415162454873647,74
2,avail,0.005145751387466998,75
2,includ,0.005145751387466998,76
2,center,0.005145751387466998,77
2,solv,0.005145751387466998,78
2,implement,0.005145751387466998,79
2,network,0.004876340320060346,80
2,paramet,0.004876340320060346,81
2,detail,0.004876340320060346,82
2,sensit,0.004876340320060346,83
2,respect,0.004876340320060346,84
2,locat,0.004876340320060346,85
2,prove,0.004876340320060346,86
2,captur,0.0046069292526536975,87
