journal,specialty
Academic emergency medicine : official journal of the Society for Academic and Emergency Medicine,Emergency Medicine
Acta biomaterialia,Biomedical Technology
Acta neuropathologica,Pathology
"Addiction (Abingdon, England)",Addiction
Addictive behaviors,Addiction
Advanced drug delivery reviews,Pharmacology and Pharmacy
Aesthetic surgery journal,Plastic and Reconstructive Surgery
"AIDS (London, England)",AIDS and HIV
AIDS and behavior,AIDS and HIV
Alzheimer's & dementia : the journal of the Alzheimer's Association,Gerontology and Geriatric Medicine
American family physician,Primary Health Care
American journal of human genetics,Genetics and Genomics
American journal of obstetrics and gynecology,Gynecology and Obstetrics
American journal of ophthalmology,Ophthalmology and Optometry
American journal of preventive medicine,Public Health
American journal of public health,Public Health
American journal of respiratory and critical care medicine,Pulmonology
American journal of speech-language pathology,"Audiology, Speech, and Language Pathology"
American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,Transplantation
Anaesthesia,Anesthesiology
Anesthesiology,Anesthesiology
Animals : an open access journal from MDPI,Veterinary Medicine
Annals of cardiothoracic surgery,Heart and Thoracic Surgery
Annals of emergency medicine,Emergency Medicine
Annals of family medicine,Primary Health Care
Annals of intensive care,Critical Care
Annals of oncology : official journal of the European Society for Medical and Oncology,Oncology
Annals of surgery,Surgery
Annals of the rheumatic diseases,Rheumatology
Archives of disease in childhood,Pregnancy and Childbirth
Archives of physical medicine and rehabilitation,Rehabilitation Therapy
"Arteriosclerosis, thrombosis, and vascular biology",Vascular Medicine
"Arthritis & rheumatology (Hoboken, N.J.)",Rheumatology
Autism : the international journal of research and practice,Child and Adolescent Psychology
Autism : the international journal of research and practice,Developmental Disabilities
Autism research : official journal of the International Society for Autism and Research,Developmental Disabilities
Autoimmunity reviews,Rheumatology
Biological psychiatry,Psychiatry
Biology of blood and marrow transplantation : journal of the American Society for and Blood and Marrow Transplantation,Transplantation
Blood,Hematology
Blood advances,Hematology
BMC complementary and alternative medicine,Alternative and Traditional Medicine
BMC complementary medicine and therapies,Alternative and Traditional Medicine
BMC family practice,Primary Health Care
BMC medical ethics,Bioethics
BMC palliative care,Hospice and Palliative Care
BMC pregnancy and childbirth,Pregnancy and Childbirth
BMC public health,Public Health
BMJ global health,Tropical Medicine and Parasitology
Bone marrow transplantation,Transplantation
British journal of anaesthesia,Anesthesiology
